Campaign,Date,City/Location,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, INR",Conversions,"Total conversion value, INR",Likes (Reactions),Shares,Comments
Festival Delight,2/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4110,2.1%,85,45,3861,3,5216,55,9,7
Festival Delight,2/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4797,1.2%,59,24,1395,7,4057,17,38,23
Festival Delight,2/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4678,1.5%,69,12,855,14,5409,30,2,17
Festival Delight,2/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3100,1.8%,55,19,1034,10,2608,73,22,13
Festival Delight,2/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5916,1.6%,96,27,2574,7,10886,54,38,3
Festival Delight,3/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3306,2.2%,71,10,719,14,2028,70,7,7
Festival Delight,3/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5701,1.6%,94,50,4677,2,1449,54,0,7
Festival Delight,3/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3681,1.6%,59,10,578,0,0,11,20,13
Festival Delight,3/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4945,1.4%,68,6,380,7,1352,41,27,0
Festival Delight,2/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3707,1.5%,56,17,966,0,0,11,38,0
Festival Delight,2/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4222,1.3%,55,29,1583,14,5883,46,9,20
Festival Delight,2/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4826,1.7%,81,38,3048,14,2125,36,13,23
Festival Delight,2/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3250,1.2%,38,9,355,17,16363,25,4,20
Festival Delight,2/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4484,1.5%,67,44,2950,17,13050,48,29,13
Festival Delight,3/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3560,1.7%,61,12,754,21,11630,11,13,3
Festival Delight,3/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4640,2.1%,99,25,2516,7,2125,36,38,17
Festival Delight,3/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4667,1.8%,86,8,707,7,6897,53,9,7
Festival Delight,3/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5888,1.9%,113,35,3930,3,2511,44,7,13
Festival Delight,3/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3048,1.5%,45,39,1726,3,6221,20,16,7
Festival Delight,3/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4878,1.4%,66,32,2105,10,2705,27,38,7
Festival Delight,3/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6178,1.4%,84,11,910,17,1546,25,40,27
Festival Delight,3/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5243,2.0%,104,45,4712,10,2318,34,38,23
Festival Delight,3/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4774,1.5%,70,3,236,7,5883,25,4,7
Festival Delight,3/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4945,1.2%,59,5,308,17,5023,60,4,7
Festival Delight,3/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4868,1.6%,77,48,3687,7,4637,23,27,3
Festival Delight,3/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5472,2.1%,116,32,3689,7,1352,28,47,3
Festival Delight,3/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5447,2.2%,121,10,1267,14,2511,73,27,7
Festival Delight,3/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5017,1.3%,64,41,2616,3,3574,41,2,23
Festival Delight,3/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3345,1.4%,48,43,2066,17,1063,27,40,17
Festival Delight,3/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5270,1.8%,96,22,2078,10,5274,42,9,7
Festival Delight,3/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5079,1.1%,58,1,87,3,5680,60,4,13
Festival Delight,3/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2986,1.3%,40,15,606,0,0,74,29,23
Festival Delight,3/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3742,2.1%,79,6,472,0,0,62,31,10
Festival Delight,3/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5939,1.8%,105,28,2974,10,5815,10,7,3
Festival Delight,3/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4111,2.1%,88,24,2065,17,2318,18,36,7
Festival Delight,3/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3832,1.5%,58,29,1706,17,1642,57,29,13
Festival Delight,3/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3542,1.3%,46,27,1269,10,5796,46,2,17
Festival Delight,1/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3914,2.0%,76,40,3029,10,3574,74,16,10
Festival Delight,1/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5401,1.9%,100,3,262,10,2318,25,11,20
Festival Delight,1/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3930,1.4%,54,19,1014,14,4395,59,25,20
Festival Delight,1/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4208,1.7%,71,10,715,17,193,27,27,0
Festival Delight,1/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4285,1.5%,62,14,865,7,4530,60,4,13
Festival Delight,1/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4541,1.3%,59,11,663,17,2222,16,7,0
Festival Delight,1/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5240,2.0%,103,33,3444,10,3864,68,4,20
Festival Delight,1/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3855,2.1%,79,22,1747,0,0,49,2,20
Festival Delight,2/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3317,1.5%,51,16,820,7,869,62,7,0
Festival Delight,2/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5489,1.5%,82,42,3457,7,3671,14,7,0
